,Unnamed: 0,artistname,followers,genres,popularity,artistType,trackname,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,ND,2501603.0,"['contemporary country', 'country', 'pop']",79.0,artist,Rodeo,0.7240000000000001,0.8220000000000001,-6.231,0.0363,0.0,0.0819,0.8540000000000001,126.81700000000001,120049.0
1,0,Ninho,5403852.0,"['french hip hop', 'pop urbaine']",87.0,artist,La vie qu'on mène,0.8,0.7559999999999999,-4.4,0.0367,2.06e-06,0.111,0.456,113.204,193444.0
2,0,Jul,4209659.0,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",81.0,artist,Tel Me,0.447,0.526,-8.064,0.0299,0.0,0.12,0.13699999999999998,79.657,239640.0
3,0,Hillsong Worship,3570188.0,"['ccm', 'christian music', 'world worship', 'worship']",77.0,artist,What A Beautiful Name,0.424,0.506,-5.877000000000001,0.0284,0.0,0.11,0.138,135.90200000000002,238200.0
4,0,Hamza,599593.0,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap francais']",71.0,artist,God Bless (feat. Damso),0.861,0.5720000000000001,-9.98,0.11599999999999999,0.0007509999999999999,0.0639,0.23199999999999998,82.51,161743.0
5,0,Hillsong Worship,3570188.0,"['ccm', 'christian music', 'world worship', 'worship']",77.0,artist,King Of Kings - Studio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,Hillsong Worship,3570188.0,"['ccm', 'christian music', 'world worship', 'worship']",77.0,artist,Who You Say I Am,0.26899999999999996,0.6659999999999999,-6.047999999999999,0.0362,0.0,0.609,0.226,171.722,329080.0
7,0,Hillsong Worship,3570188.0,"['ccm', 'christian music', 'world worship', 'worship']",77.0,artist,King Of Kings,0.489,0.47700000000000004,-7.343,0.0299,0.0,0.1,0.177,136.045,265133.0
8,0,Hillsong Worship,3570188.0,"['ccm', 'christian music', 'world worship', 'worship']",77.0,artist,I Surrender,0.273,0.529,-7.353,0.034,0.0028399999999999996,0.20600000000000002,0.134,154.1,346347.0
9,0,JJ Hairston,27966.0,"['contemporary gospel', 'gospel']",47.0,artist,Miracle Worker (feat. Rich Tolbert Jr.) - Live,0.354,0.866,-4.334,0.185,0.0,0.685,0.34299999999999997,141.865,402827.0
10,0,JJ Hairston,27966.0,"['contemporary gospel', 'gospel']",47.0,artist,Miracle Dance - Live,0.451,0.995,-2.971,0.28,0.115,0.9890000000000001,0.275,155.04,298293.0
11,0,JJ Hairston,27966.0,"['contemporary gospel', 'gospel']",47.0,artist,Miracle Prayer - Live,0.527,0.948,-3.838,0.409,7.67e-06,0.8270000000000001,0.24100000000000002,65.227,221573.0
12,0,JJ Hairston,27966.0,"['contemporary gospel', 'gospel']",47.0,artist,Excess Love - Live,0.311,0.863,-5.085,0.105,0.000122,0.885,0.303,155.813,507400.0
13,0,HungryGen Worship,3491.0,[],26.0,artist,Way Maker,0.447,0.45,-9.117,0.035,0.0,0.0809,0.11800000000000001,128.005,401970.0
14,0,Bethel Music,1259740.0,"['ambient worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']",73.0,artist,Be Enthroned - Live,0.303,0.516,-8.517999999999999,0.0302,0.0,0.163,0.0592,141.93200000000002,485397.0
15,0,Uzzo,35.0,[],3.0,artist,Kpa (Money),0.847,0.654,-5.247999999999999,0.1,0.0,0.0903,0.93,113.947,195773.0
16,0,Joeboy,480356.0,['nigerian pop'],68.0,artist,Lonely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,Innoss'B,0.0,0,0.0,0,Best (feat. Damso),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,Olakira,12156.0,['nigerian pop'],53.0,artist,Maserati - Remix,0.737,0.883,-5.665,0.0558,0.0,0.0833,0.831,103.84299999999999,208421.0
19,0,Yemi Alade,374261.0,"['afro dancehall', 'afropop', 'azontobeats', 'nigerian pop']",58.0,artist,I Choose You,0.703,0.813,-4.016,0.0987,0.00659,0.0958,0.711,107.875,203310.0
20,0,R2Bees,80699.0,"['afro dancehall', 'afropop', 'azonto', 'azontobeats', 'ghanaian hip hop', 'ghanaian pop', 'hiplife']",53.0,artist,Yawa (feat. Sarkodie),0.701,0.852,-7.919,0.0463,0.0428,0.10800000000000001,0.89,116.06700000000001,182370.0
21,0,Rema,1068700.0,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal']",63.0,artist,Ginger Me,0.5670000000000001,0.5770000000000001,-7.832999999999999,0.134,0.000397,0.145,0.7190000000000001,200.00799999999998,205893.0
22,0,Tems,347423.0,"['afro r&b', 'alte', 'nigerian pop', 'r&b']",75.0,artist,Damages,0.7120000000000001,0.49700000000000005,-8.106,0.431,2.65e-05,0.125,0.516,128.385,169412.0
23,0,Aya Nakamura,3223067.0,"['basshall', 'francoton', 'pop urbaine']",75.0,artist,Doudou,0.773,0.609,-5.855,0.244,0.0,0.0729,0.6970000000000001,98.071,168719.0
24,0,Vegedream,1315067.0,"['francoton', 'pop urbaine']",71.0,artist,Pour nous,0.638,0.696,-5.94,0.0442,0.0,0.11,0.557,101.97,203007.0
25,0,Dadju,3843014.0,"['francoton', 'french hip hop', 'french pop', 'pop urbaine']",76.0,artist,Dieu merci,0.718,0.524,-7.183,0.0587,0.0,0.215,0.825,133.998,211649.0
26,0,Bebi Philip,23100.0,"['azontobeats', 'coupe-decale', 'makossa']",36.0,artist,Samatank,0.787,0.8270000000000001,-6.6129999999999995,0.0749,0.00135,0.151,0.636,115.104,203263.0
27,0,Fally Ipupa,337069.0,"['afropop', 'azontobeats', 'pop urbaine', 'rumba congolaise']",63.0,artist,Likolo (feat. Ninho),0.7809999999999999,0.612,-5.531000000000001,0.0778,0.0,0.0863,0.595,116.045,195720.0
28,0,Wendy Shay,49899.0,"['christian afrobeat', 'ghanaian alternative']",37.0,artist,H.I.T (Haters In Tears),0.8740000000000001,0.445,-8.323,0.0781,1.7e-06,0.0934,0.762,105.06200000000001,201161.0
29,0,Naira Marley,212847.0,"['afro dancehall', 'afropop', 'afroswing', 'azontobeats', 'nigerian pop']",58.0,artist,Chi Chi,0.841,0.899,-4.803999999999999,0.114,0.198,0.14300000000000002,0.54,118.10700000000001,217627.0
30,0,Olamide,483662.0,"['afro dancehall', 'afropop', 'azonto', 'azontobeats', 'nigerian hip hop', 'nigerian pop']",66.0,artist,Infinity (feat. Omah Lay),0.93,0.535,-8.755,0.111,0.0201,0.146,0.518,102.01700000000001,171765.0
31,0,Were-vana,25017.0,"['francoton', 'rap antillais', 'zouk riddim']",54.0,artist,Casanova,0.711,0.848,-6.125,0.115,0.0,0.12300000000000001,0.531,97.176,172146.0
32,0,Master KG,282611.0,['south african house'],67.0,artist,Uthando (feat. Zanda Zakuza & DJ Coach),0.851,0.6659999999999999,-8.745,0.0601,0.498,0.0957,0.8590000000000001,124.022,243871.0
33,0,Darkoo,41371.0,"['afroswing', 'london rap', 'uk hip hop']",67.0,artist,Cinderella (feat. 4Keus),0.426,0.535,-8.466000000000001,0.134,1.92e-05,0.311,0.467,89.86399999999999,178000.0
34,0,MCBOX,24436.0,"['francoton', 'reunion pop']",47.0,artist,Toucher,0.6940000000000001,0.618,-6.662000000000001,0.11199999999999999,0.0,0.134,0.49200000000000005,167.657,178200.0
35,0,WizKid,1421361.0,"['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']",81.0,artist,Ginger (feat. Burna Boy),0.545,0.7490000000000001,-6.621,0.153,0.0,0.23199999999999998,0.6809999999999999,100.50299999999999,196147.0
36,0,Sarkodie,214532.0,"['afro dancehall', 'afropop', 'azonto', 'azontobeats', 'ghanaian hip hop', 'hiplife']",57.0,artist,Happy Day,0.8270000000000001,0.871,-6.562,0.23399999999999999,0.0,0.0817,0.696,117.009,212933.0
37,0,Charlotte Dipanda,22471.0,"['azontobeats', 'cameroonian pop', 'makossa']",37.0,artist,Coeur en cage,0.69,0.655,-7.402,0.122,0.0,0.244,0.638,102.15700000000001,197911.0
38,0,Driks,113948.0,"['francoton', 'pop urbaine']",57.0,artist,Demain,0.618,0.657,-6.7860000000000005,0.187,1.85e-06,0.21899999999999997,0.486,110.685,176677.0
39,0,Master KG,282611.0,['south african house'],67.0,artist,Ng'zolova (feat. DJ Tira & Nokwazi),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,Buju,180425.0,"['afropop', 'nigerian pop']",66.0,artist,So Lovely,0.76,0.794,-7.095,0.0783,0.33899999999999997,0.12,0.753,111.01100000000001,148000.0
41,0,CKay,367875.0,['afro r&b'],85.0,artist,love nwantiti (feat. Franglish) - French Remix,0.607,0.7559999999999999,-5.611000000000001,0.273,3.6099999999999997e-05,0.107,0.44,185.838,135480.0
42,0,KeBlack,953306.0,"['francoton', 'french hip hop', 'french pop', 'pop urbaine']",65.0,artist,Je fais ma vie,0.705,0.531,-9.218,0.146,0.0,0.0825,0.3,77.50399999999999,171227.0
43,0,Naza,1060247.0,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'metal', 'rock']",63.0,artist,Faut pardonner,0.8059999999999999,0.434,-7.956,0.187,0.0,0.102,0.456,101.975,176547.0
